PLAYER_ID,SEASON,MVP_class
252,1996-97,3
893,1996-97,2
255,1996-97,1
893,1997-98,3
252,1997-98,2
56,1997-98,1
252,1998-99,3
297,1998-99,2
1495,1998-99,1
406,1999-00,3
708,1999-00,2
297,1999-00,1
947,2000-01,3
1495,2000-01,2
406,2000-01,1
1495,2001-02,3
467,2001-02,2
406,2001-02,1
1495,2002-03,3
708,2002-03,2
977,2002-03,1
708,2003-04,3
1495,2003-04,2
979,2003-04,1
959,2004-05,3
406,2004-05,2
1717,2004-05,1
959,2005-06,3
2544,2005-06,2
1717,2005-06,1
1717,2006-07,3
959,2006-07,2
977,2006-07,1
977,2007-08,3
101108,2007-08,2
708,2007-08,1
2544,2008-09,3
977,2008-09,2
2548,2008-09,1
2544,2009-10,3
201142,2009-10,2
977,2009-10,1
201565,2010-11,3
2730,2010-11,2
2544,2010-11,1
2544,2011-12,3
201142,2011-12,2
101108,2011-12,1
2544,2012-13,3
201142,2012-13,2
2546,2012-13,1
201142,2013-14,3
2544,2013-14,2
201933,2013-14,1
201939,2014-15,3
201935,2014-15,2
2544,2014-15,1
201939,2015-16,3
202695,2015-16,2
2544,2015-16,1
201566,2016-17,3
201935,2016-17,2
202695,2016-17,1
201935,2017-18,3
2544,2017-18,2
203076,2017-18,1
203507,2018-19,3
201935,2018-19,2
202331,2018-19,1
203507,2019-20,3
2544,2019-20,2
201935,2019-20,1
203954,2020-21,3
201939,2020-21,2
203507,2020-21,1
203954,2021-22,3
203507,2021-22,2
1626164,2021-22,1
203954,2022-23,3
203507,2022-23,2
1628369,2022-23,1
1628983,2023-24,3
203507,2023-24,2
1628973,2023-24,1
